name	zone	localx	localy	localz	posx	posy	posz
oh1_17	Oh1	3.454	2.598	0	3.460597	2.66397	0
oh1_18	Oh1	4.792	1.837	0	4.798597	1.90297	0
oh1_19	Oh1	2.44	0.053	0	2.446597	0.1189702	0
oh1_20	Oh1	4.105	0.053	0	4.111597	0.1189702	0
oh1_21	Oh1	2.769	-2.783	0	2.775597	-2.71703	0
oh1_22	Oh1	4.27	-1.764	0	4.276597	-1.69803	0
oh1_23	Oh1	5.637	0.941	0	5.643597	1.00697	0
oh1_24	Oh1	5.681	-0.821	0	5.687597	-0.7550298	0
oh1_25	Oh1	7.093	0.011	0	7.099597	0.07697021	0
oh1_26	Oh1	8.638	1.168	0	8.644596	1.23397	0
oh1_27	Oh1	1.835	1.518	0	1.841597	1.58397	0
oh1_28	Oh1	1.795	-1.265	0	1.801597	-1.19903	0
oh1_29	Oh1	5.164	-3.119	0	5.170597	-3.05303	0
oh1_30	Oh1	-5.933	-3.304	0	-5.926403	-3.23803	0
oh1_31	Oh1	-6.707	0.292	0	-6.700403	0.3579702	0
oh2_0	Oh2	-7.839	0.153	0	-7.832403	0.2189702	0
oh2_1	Oh2	-5.442	0.982	0	-5.435403	1.04797	0
oh2_2	Oh2	-5.429	-0.821	0	-5.422403	-0.7550298	0
oh2_3	Oh2	-4.323	1.545	0	-4.316403	1.61097	0
oh2_4	Oh2	-4.077	-1.698	0	-4.070403	-1.63203	0
oh2_5	Oh2	-5.749	-2.477	0	-5.742403	-2.41103	0
oh2_6	Oh2	-3.046	3.183	0	-3.039403	3.24897	0
oh2_7	Oh2	-2.42	1.762	0	-2.413403	1.82797	0
oh2_8	Oh2	-3.196	0.586	0	-3.189403	0.6519703	0
oh2_9	Oh2	-2.84	-1.074	0	-2.833403	-1.00803	0
oh2_10	Oh2	-3.268	-2.56	0	-3.261403	-2.49403	0
oh2_11	Oh2	-0.682	2.631	0	-0.6754029	2.69697	0
oh2_12	Oh2	-1.06	-0.21	0	-1.053403	-0.1440298	0
oh2_13	Oh2	-1.02	-2.882	0	-1.013403	-2.81603	0
oh2_14	Oh2	1.118	2.681	0	1.124597	2.74697	0
oh2_15	Oh2	1.204	0.85	0	1.210597	0.9159702	0
oh2_16	Oh2	0.67	-1.43	0	0.6765971	-1.36403	0
oh2_17	Oh2	1.15	-3.21	0	1.156597	-3.14403	0
oh2_18	Oh2	2.67	1.89	0	2.676597	1.95597	0
oh2_19	Oh2	2.42	-2.08	0	2.426597	-2.01403	0
oh2_20	Oh2	3.17	-3.464	0	3.176597	-3.39803	0
oh2_21	Oh2	4.48	1.67	0	4.486597	1.73597	0
oh2_22	Oh2	3.58	0.05	0	3.586597	0.1159702	0
oh2_23	Oh2	4.933	-2.16	0	4.939597	-2.09403	0
oh2_24	Oh2	5.674	1.103	0	5.680597	1.16897	0
oh2_25	Oh2	5.228	0.045	0	5.234597	0.1109702	0
oh2_26	Oh2	7.108	-0.125	0	7.114597	-0.05902979	0
oh2_27	Oh2	8.642	1.046	0	8.648597	1.11197	0
oh2_28	Oh2	6.105	-1.299	0	6.111597	-1.23303	0
oh2_29	Oh2	-6.754	0.272	0	-6.747403	0.3379702	0
oh2_30	Oh2	3.74	-1.144	0	3.746597	-1.07803	0
oh2_31	Oh2	2.163	3.433	0	2.169597	3.49897	0
oh3_0	Oh3	-7.713	0.208	0	-7.706403	0.2739702	0
oh3_1	Oh3	-5.569	1.403	0	-5.562403	1.46897	0
oh3_2	Oh3	-5.064	0.054	0	-5.057403	0.1199702	0
oh3_3	Oh3	-6.248	-1.951	0	-6.241403	-1.88503	0
oh3_4	Oh3	-4.68	2.77	0	-4.673403	2.83597	0
oh3_5	Oh3	-3.37	0	0	-3.363403	0.06597021	0
oh3_6	Oh3	-4.08	-3.32	0	-4.073403	-3.25403	0
oh3_7	Oh3	-2.721	3.857	0	-2.714403	3.92297	0
oh3_8	Oh3	-2.455	2.7	0	-2.448403	2.76597	0
oh3_9	Oh3	-3.29	1.57	0	-3.283403	1.63597	0
oh3_10	Oh3	-1.99	0.03	0	-1.983403	0.09597021	0
oh3_11	Oh3	-2.561	-2.196	0	-2.554403	-2.13003	0
oh3_12	Oh3	-2.274	-3.541	0	-2.267403	-3.47503	0
oh3_13	Oh3	-0.521	3.591	0	-0.514403	3.65697	0
oh3_14	Oh3	-1.175	1.162	0	-1.168403	1.22797	0
oh3_15	Oh3	-1.026	-1.305	0	-1.019403	-1.23903	0
oh3_16	Oh3	-0.961	-3.809	0	-0.954403	-3.74303	0
oh3_17	Oh3	1.483	3.538	0	1.489597	3.60397	0
oh3_18	Oh3	0.748	2.514	0	0.7545971	2.57997	0
oh3_19	Oh3	0.416	1.033	0	0.4225971	1.09897	0
oh3_20	Oh3	0.55	-0.41	0	0.5565971	-0.3440298	0
oh3_21	Oh3	0.314	-2.054	0	0.3205971	-1.98803	0
oh3_22	Oh3	1.76	-2.35	0	1.766597	-2.28403	0
oh3_23	Oh3	2.805	2.617	0	2.811597	2.68297	0
oh3_24	Oh3	2.325	0.062	0	2.331597	0.1279702	0
oh3_25	Oh3	4.24	-2.38	0	4.246597	-2.31403	0
oh3_26	Oh3	4.42	1.59	0	4.426597	1.65597	0
oh3_27	Oh3	4.289	-0.428	0	4.295597	-0.3620298	0
oh3_28	Oh3	5.662	1.016	0	5.668597	1.08197	0
oh3_29	Oh3	5.777	-1.09	0	5.783597	-1.02403	0
oh3_30	Oh3	7.132	-0.134	0	7.138597	-0.06802979	0
oh3_31	Oh3	8.635	1.021	0	8.641597	1.08697	0
oh3_32	Oh3	-6.633	0.337	0	-6.626403	0.4029702	0
oh3_33	Oh3	2.739	-3.475	0	2.745597	-3.40903	0
oh3_34	Oh3	4.278	3.499	0	4.284597	3.56497	0
oh4_0	Oh4	-7.726	0.087	0	-7.719403	0.1529702	0
oh4_1	Oh4	-5.709	1.673	0	-5.702403	1.73897	0
oh4_2	Oh4	-4.824	0.889	0	-4.817403	0.9549702	0
oh4_3	Oh4	-6.333	-1.342	0	-6.326403	-1.27603	0
oh4_4	Oh4	-4.834	2.823	0	-4.827403	2.88897	0
oh4_5	Oh4	-3.644	0.473	0	-3.637403	0.5389702	0
oh4_6	Oh4	-4.507	-1.424	0	-4.500403	-1.35803	0
oh4_7	Oh4	-4.894	-2.878	0	-4.887403	-2.81203	0
oh4_8	Oh4	-2.967	2.852	0	-2.960403	2.91797	0
oh4_9	Oh4	-2.74	1.44	0	-2.733403	1.50597	0
oh4_10	Oh4	-1.808	-0.255	0	-1.801403	-0.1890298	0
oh4_11	Oh4	-2.804	-2.129	0	-2.797403	-2.06303	0
oh4_12	Oh4	-1.175	-2.479	0	-1.168403	-2.41303	0
oh4_13	Oh4	-0.963	2.421	0	-0.956403	2.48697	0
oh4_14	Oh4	-0.539	1.223	0	-0.5324029	1.28897	0
oh4_15	Oh4	0.354	-0.347	0	0.360597	-0.2810298	0
oh4_16	Oh4	1.18	-2.779	0	1.186597	-2.71303	0
oh4_17	Oh4	0.778	3.287	0	0.784597	3.35297	0
oh4_18	Oh4	2.578	3.273	0	2.584597	3.33897	0
oh4_19	Oh4	0.669	1.896	0	0.6755971	1.96197	0
oh4_20	Oh4	2.342	1.738	0	2.348597	1.80397	0
oh4_21	Oh4	1.94	0.659	0	1.946597	0.7249702	0
oh4_22	Oh4	3.48	0.547	0	3.486597	0.6129702	0
oh4_23	Oh4	2.608	-1.426	0	2.614597	-1.36003	0
oh4_24	Oh4	3.687	-2.646	0	3.693597	-2.58003	0
oh4_25	Oh4	4.325	2.18	0	4.331597	2.24597	0
oh4_26	Oh4	5.128	-2.574	0	5.134597	-2.50803	0
oh4_27	Oh4	5.266	0.688	0	5.272597	0.7539703	0
oh4_28	Oh4	6.172	-1.116	0	6.178597	-1.05003	0
oh4_29	Oh4	7.112	-0.13	0	7.118597	-0.06402978	0
oh4_30	Oh4	8.645	1.029	0	8.651597	1.09497	0
oh4_31	Oh4	-6.667	0.193	0	-6.660403	0.2589702	0
oh5_0	Oh5	-7.777	0.093	0	-7.770403	0.1589702	0
oh5_1	Oh5	-5.908	1.914	0	-5.901403	1.97997	0
oh5_2	Oh5	-4.924	0.662	0	-4.917403	0.7279702	0
oh5_3	Oh5	-4.994	-0.558	0	-4.987403	-0.4920298	0
oh5_4	Oh5	-6.304	-1.698	0	-6.297403	-1.63203	0
oh5_5	Oh5	-5.13	2.614	0	-5.123403	2.67997	0
oh5_6	Oh5	-3.26	3.671	0	-3.253403	3.73697	0
oh5_7	Oh5	-3.213	1.282	0	-3.206403	1.34797	0
oh5_8	Oh5	-3.229	-1.175	0	-3.222403	-1.10903	0
oh5_9	Oh5	-4.784	-2.848	0	-4.777403	-2.78203	0
oh5_10	Oh5	-3.17	-2.781	0	-3.163403	-2.71503	0
oh5_11	Oh5	-0.598	3.104	0	-0.5914029	3.16997	0
oh5_12	Oh5	-1.437	2.135	0	-1.430403	2.20097	0
oh5_13	Oh5	0.758	2.11	0	0.7645971	2.17597	0
oh5_14	Oh5	-1.33	0.12	0	-1.323403	0.1859702	0
oh5_15	Oh5	0.15	-0.13	0	0.156597	-0.06402978	0
oh5_16	Oh5	-0.99	-1.94	0	-0.983403	-1.87403	0
oh5_17	Oh5	-1.463	-3.528	0	-1.456403	-3.46203	0
oh5_18	Oh5	0.593	-3.167	0	0.599597	-3.10103	0
oh5_19	Oh5	2.697	1.563	0	2.703597	1.62897	0
oh5_20	Oh5	3.987	1.077	0	3.993597	1.14297	0
oh5_21	Oh5	2.616	-0.32	0	2.622597	-0.2540298	0
oh5_22	Oh5	4.635	-1.779	0	4.641597	-1.71303	0
oh5_23	Oh5	5.47	0.464	0	5.476597	0.5299702	0
oh5_24	Oh5	5.858	-1.056	0	5.864597	-0.9900298	0
oh5_25	Oh5	7.104	-0.14	0	7.110597	-0.07402979	0
oh5_26	Oh5	8.641	0.996	0	8.647596	1.06197	0
oh5_27	Oh5	-6.413	-3.128	0	-6.406403	-3.06203	0
oh5_28	Oh5	1.485	3.352	0	1.491597	3.41797	0
oh5_29	Oh5	3.517	-3.456	0	3.523597	-3.39003	0
oh5_30	Oh5	2.75	-2.3	0	2.756597	-2.23403	0
oh5_31	Oh5	-6.721	0.23	0	-6.714403	0.2959702	0
oh6_0	Oh6	-7.711	0.116	0	-7.704403	0.1819702	0
oh6_1	Oh6	-5.599	1.823	0	-5.592403	1.88897	0
oh6_2	Oh6	-4.457	-0.013	0	-4.450403	0.05297021	0
oh6_3	Oh6	-5.947	-1.33	0	-5.940403	-1.26403	0
oh6_4	Oh6	-4.179	1.947	0	-4.172403	2.01297	0
oh6_5	Oh6	-2.786	0.547	0	-2.779403	0.6129702	0
oh6_6	Oh6	-2.786	-0.685	0	-2.779403	-0.6190298	0
oh6_7	Oh6	-4.604	-2.481	0	-4.597403	-2.41503	0
oh6_8	Oh6	-3.59	-2.95	0	-3.583403	-2.88403	0
oh6_9	Oh6	-4.613	-4.028	0	-4.606403	-3.96203	0
oh6_10	Oh6	-2.46	2.52	0	-2.453403	2.58597	0
oh6_11	Oh6	-1.19	1.5	0	-1.183403	1.56597	0
oh6_12	Oh6	-1.11	-0.19	0	-1.103403	-0.1240298	0
oh6_13	Oh6	0.23	-1.2	0	0.236597	-1.13403	0
oh6_14	Oh6	-1.46	-3.31	0	-1.453403	-3.24403	0
oh6_15	Oh6	0.27	-3.3	0	0.2765971	-3.23403	0
oh6_16	Oh6	-0.34	3	0	-0.333403	3.06597	0
oh6_17	Oh6	1.083	0.865	0	1.089597	0.9309702	0
oh6_18	Oh6	2.261	-0.626	0	2.267597	-0.5600297	0
oh6_19	Oh6	2.139	-2.792	0	2.145597	-2.72603	0
oh6_20	Oh6	1.961	2.819	0	1.967597	2.88497	0
oh6_21	Oh6	3.977	1.484	0	3.983597	1.54997	0
oh6_22	Oh6	3.839	0.188	0	3.845597	0.2539702	0
oh6_23	Oh6	4.091	-1.358	0	4.097597	-1.29203	0
oh6_24	Oh6	5.254	-2.18	0	5.260597	-2.11403	0
oh6_25	Oh6	5.499	1.412	0	5.505597	1.47797	0
oh6_26	Oh6	5.404	0.077	0	5.410597	0.1429702	0
oh6_27	Oh6	6.084	-1.231	0	6.090597	-1.16503	0
oh6_28	Oh6	7.103	-0.108	0	7.109597	-0.04202979	0
oh6_29	Oh6	8.635	0.999	0	8.641597	1.06497	0
oh6_30	Oh6	3.415	2.532	0	3.421597	2.59797	0
oh6_31	Oh6	4.363	-3.559	0	4.369597	-3.49303	0
oh6_32	Oh6	-6.569	0.21	0	-6.562403	0.2759702	0
oh7_0	Oh7	-7.811	0.092	0	-7.804403	0.1579702	0
oh7_1	Oh7	-6.132	1.787	0	-6.125403	1.85297	0
oh7_2	Oh7	-4.899	-0.081	0	-4.892403	-0.01502979	0
oh7_3	Oh7	-6.477	-1.562	0	-6.470403	-1.49603	0
oh7_4	Oh7	-3.467	3.361	0	-3.460403	3.42697	0
oh7_5	Oh7	-3.448	0.796	0	-3.441403	0.8619702	0
oh7_6	Oh7	-3.465	-1.182	0	-3.458403	-1.11603	0
oh7_7	Oh7	-3.095	-3.339	0	-3.088403	-3.27303	0
oh7_8	Oh7	-0.98	3.08	0	-0.973403	3.14597	0
oh7_9	Oh7	-2.51	1.87	0	-2.503403	1.93597	0
oh7_10	Oh7	-1.475	-0.712	0	-1.468403	-0.6460298	0
oh7_11	Oh7	-0.996	-2.944	0	-0.9894029	-2.87803	0
oh7_12	Oh7	0.653	3.892	0	0.659597	3.95797	0
oh7_13	Oh7	0.458	2.83	0	0.464597	2.89597	0
oh7_14	Oh7	-0.65	0.84	0	-0.6434029	0.9059702	0
oh7_15	Oh7	1.22	1.41	0	1.226597	1.47597	0
oh7_16	Oh7	0.2	-0.753	0	0.206597	-0.6870298	0
oh7_17	Oh7	0.468	-2.773	0	0.474597	-2.70703	0
oh7_18	Oh7	2.131	-2.677	0	2.137597	-2.61103	0
oh7_19	Oh7	1.42	-1.71	0	1.426597	-1.64403	0
oh7_20	Oh7	2.964	2.292	0	2.970597	2.35797	0
oh7_21	Oh7	2.267	-0.613	0	2.273597	-0.5470297	0
oh7_22	Oh7	5.148	1.884	0	5.154597	1.94997	0
oh7_23	Oh7	3.89	1.2	0	3.896597	1.26597	0
oh7_24	Oh7	4.2	-1.53	0	4.206597	-1.46403	0
oh7_25	Oh7	5.544	0.744	0	5.550597	0.8099703	0
oh7_26	Oh7	5.367	-0.921	0	5.373597	-0.8550298	0
oh7_27	Oh7	7.101	-0.221	0	7.107597	-0.1550298	0
oh7_28	Oh7	8.636	0.935	0	8.642596	1.00097	0
oh7_29	Oh7	-5.265	2.747	0	-5.258403	2.81297	0
oh7_30	Oh7	-5.64	-2.543	0	-5.633403	-2.47703	0
oh7_31	Oh7	-6.709	0.205	0	-6.702403	0.2709702	0
oh8_0	Oh8	-7.777	-0.056	0	-7.770403	0.00997021	0
oh8_1	Oh8	-5.625	1.457	0	-5.618403	1.52297	0
oh8_2	Oh8	-4.746	-0.374	0	-4.739403	-0.3080298	0
oh8_3	Oh8	-5.967	-1.686	0	-5.960403	-1.62003	0
oh8_4	Oh8	-4.53	2.677	0	-4.523403	2.74297	0
oh8_5	Oh8	-3.613	0.057	0	-3.606403	0.1229702	0
oh8_6	Oh8	-4.521	-2.343	0	-4.514403	-2.27703	0
oh8_7	Oh8	-2.755	3.385	0	-2.748403	3.45097	0
oh8_8	Oh8	-2.34	1.8	0	-2.333403	1.86597	0
oh8_9	Oh8	-1.46	-0.67	0	-1.453403	-0.6040298	0
oh8_10	Oh8	-2.882	-2.322	0	-2.875403	-2.25603	0
oh8_11	Oh8	-2.672	-3.808	0	-2.665403	-3.74203	0
oh8_12	Oh8	-0.62	2.423	0	-0.613403	2.48897	0
oh8_13	Oh8	-0.028	-0.928	0	-0.02140297	-0.8620298	0
oh8_14	Oh8	-0.397	-2.686	0	-0.390403	-2.62003	0
oh8_15	Oh8	1.511	3.238	0	1.517597	3.30397	0
oh8_16	Oh8	2.787	2.72	0	2.793597	2.78597	0
oh8_17	Oh8	1.201	1.307	0	1.207597	1.37297	0
oh8_18	Oh8	3.037	0.533	0	3.043597	0.5989702	0
oh8_19	Oh8	2.238	-0.34	0	2.244597	-0.2740298	0
oh8_20	Oh8	4.471	-1.145	0	4.477597	-1.07903	0
oh8_21	Oh8	1.89	-2.25	0	1.896597	-2.18403	0
oh8_22	Oh8	2.518	-3.513	0	2.524597	-3.44703	0
oh8_23	Oh8	5.812	-2.86	0	5.818597	-2.79403	0
oh8_24	Oh8	4.42	1.6	0	4.426597	1.66597	0
oh8_25	Oh8	3.854	-2.732	0	3.860597	-2.66603	0
oh8_26	Oh8	5.407	0.623	0	5.413597	0.6889702	0
oh8_27	Oh8	5.848	-0.891	0	5.854597	-0.8250297	0
oh8_28	Oh8	7.105	-0.148	0	7.111597	-0.08202979	0
oh8_29	Oh8	8.648	1.017	0	8.654596	1.08297	0
oh8_30	Oh8	0.373	0.869	0	0.379597	0.9349703	0
oh8_31	Oh8	-6.679	0.061	0	-6.672403	0.1269702	0
oh8_32	Oh8	-2.736	0.683	0	-2.729403	0.7489703	0
ol1_0	Ol1	-7.485	0.122	0	-7.478403	0.1879702	0
ol1_1	Ol1	-6.343	1.269	0	-6.336403	1.33497	0
ol1_2	Ol1	-5.398	0.203	0	-5.391403	0.2689702	0
ol1_3	Ol1	-6.133	-1.518	0	-6.126403	-1.45203	0
ol1_4	Ol1	-4.828	-2.169	0	-4.821403	-2.10303	0
ol1_5	Ol1	-4.18	2.49	0	-4.173403	2.55597	0
ol1_6	Ol1	-3.319	0.16	0	-3.312403	0.2259702	0
ol1_7	Ol1	-2.631	-2.634	0	-2.624403	-2.56803	0
ol1_8	Ol1	-2.081	3.112	0	-2.074403	3.17797	0
ol1_9	Ol1	-1.062	1.466	0	-1.055403	1.53197	0
ol1_10	Ol1	-1.808	0.121	0	-1.801403	0.1869702	0
ol1_11	Ol1	-0.917	-1.406	0	-0.910403	-1.34003	0
ol1_12	Ol1	-0.404	-3.778	0	-0.397403	-3.71203	0
ol1_13	Ol1	0.172	3.291	0	0.178597	3.35697	0
ol1_14	Ol1	1.685	3.553	0	1.691597	3.61897	0
ol1_15	Ol1	0.32	-0.426	0	0.326597	-0.3600298	0
ol1_16	Ol1	0.932	-3.267	0	0.938597	-3.20103	0
ol1_17	Ol1	3.454	2.598	0	3.460597	2.66397	0
ol1_18	Ol1	4.792	1.837	0	4.798597	1.90297	0
ol1_19	Ol1	2.44	0.053	0	2.446597	0.1189702	0
ol1_20	Ol1	4.105	0.053	0	4.111597	0.1189702	0
ol1_21	Ol1	2.769	-2.783	0	2.775597	-2.71703	0
ol1_22	Ol1	4.27	-1.764	0	4.276597	-1.69803	0
ol1_23	Ol1	5.637	0.941	0	5.643597	1.00697	0
ol1_24	Ol1	5.681	-0.821	0	5.687597	-0.7550298	0
ol1_25	Ol1	7.074	-0.114	0	7.080597	-0.04802979	0
ol1_26	Ol1	8.605	1.041	0	8.611596	1.10697	0
ol1_27	Ol1	1.835	1.518	0	1.841597	1.58397	0
ol1_28	Ol1	1.795	-1.265	0	1.801597	-1.19903	0
ol1_29	Ol1	5.164	-3.12	0	5.170597	-3.05403	0
ol1_30	Ol1	-5.933	-3.304	0	-5.926403	-3.23803	0
ol2_0	Ol2	-7.615	0.112	0	-7.608403	0.1779702	0
ol2_1	Ol2	-6.048	0.921	0	-6.041403	0.9869702	0
ol2_2	Ol2	-6.149	-0.821	0	-6.142403	-0.7550298	0
ol2_3	Ol2	-4.756	1.415	0	-4.749403	1.48097	0
ol2_4	Ol2	-4.567	-1.836	0	-4.560403	-1.77003	0
ol2_5	Ol2	-6.354	-2.369	0	-6.347403	-2.30303	0
ol2_6	Ol2	-3.24	3.143	0	-3.233403	3.20897	0
ol2_7	Ol2	-2.58	1.78	0	-2.573403	1.84597	0
ol2_8	Ol2	-3.52	0.55	0	-3.513403	0.6159703	0
ol2_9	Ol2	-3.16	-1.08	0	-3.153403	-1.01403	0
ol2_10	Ol2	-3.766	-2.637	0	-3.759403	-2.57103	0
ol2_11	Ol2	-0.682	2.631	0	-0.6754029	2.69697	0
ol2_12	Ol2	-1.06	-0.21	0	-1.053403	-0.1440298	0
ol2_13	Ol2	-1.02	-2.882	0	-1.013403	-2.81603	0
ol2_14	Ol2	1.118	2.681	0	1.124597	2.74697	0
ol2_15	Ol2	1.204	0.85	0	1.210597	0.9159702	0
ol2_16	Ol2	0.67	-1.43	0	0.6765971	-1.36403	0
ol2_17	Ol2	1.15	-3.21	0	1.156597	-3.14403	0
ol2_18	Ol2	2.67	1.89	0	2.676597	1.95597	0
ol2_19	Ol2	2.42	-2.08	0	2.426597	-2.01403	0
ol2_20	Ol2	3.17	-3.464	0	3.176597	-3.39803	0
ol2_21	Ol2	4.48	1.67	0	4.486597	1.73597	0
ol2_22	Ol2	3.667	0.042	0	3.673597	0.1079702	0
ol2_23	Ol2	4.933	-2.16	0	4.939597	-2.09403	0
ol2_24	Ol2	5.674	1.103	0	5.680597	1.16897	0
ol2_25	Ol2	5.228	0.045	0	5.234597	0.1109702	0
ol2_26	Ol2	7.059	-0.14	0	7.065597	-0.07402979	0
ol2_27	Ol2	8.609	1.049	0	8.615597	1.11497	0
ol2_28	Ol2	6.105	-1.299	0	6.111597	-1.23303	0
ol2_29	Ol2	3.74	-1.144	0	3.746597	-1.07803	0
